ESTACION,MAGNITUD,ANO,MES,DIA,H08
24,7,2018,9,5,1.0
24,7,2018,9,6,1.0
24,7,2018,9,7,1.0
24,7,2018,9,8,1.0
24,7,2018,9,9,6.0
24,7,2018,9,10,1.0
24,7,2018,9,11,1.0
24,7,2018,9,12,1.0
24,7,2018,9,13,1.0
24,7,2018,9,14,1.0
24,7,2018,9,15,1.0
24,7,2018,9,16,3.0
24,7,2018,9,17,1.0
24,7,2018,9,18,1.0
24,7,2018,9,19,1.0
24,7,2018,9,20,1.0
24,7,2018,9,21,1.0
24,7,2018,9,22,1.0
24,7,2018,9,23,1.0
24,7,2018,9,24,1.0
24,7,2018,9,25,1.0
24,7,2018,9,26,1.0
24,7,2018,9,27,1.0
24,7,2018,9,28,2.0
24,7,2018,9,29,1.0
24,7,2018,9,30,1.0
27,7,2018,9,1,13.0
27,7,2018,9,2,9.0
27,7,2018,9,3,12.0
27,7,2018,9,4,48.0
27,7,2018,9,5,56.0
27,7,2018,9,6,3.0
27,7,2018,9,7,4.0
27,7,2018,9,8,2.0
27,7,2018,9,9,10.0
27,7,2018,9,10,27.0
27,7,2018,9,11,27.0
27,7,2018,9,12,2.0
27,7,2018,9,13,30.0
27,7,2018,9,14,23.0
27,7,2018,9,15,11.0
27,7,2018,9,16,12.0
27,7,2018,9,17,18.0
27,7,2018,9,18,1.0
27,7,2018,9,19,36.0
27,7,2018,9,20,23.0
27,7,2018,9,21,78.0
27,7,2018,9,22,6.0
27,7,2018,9,23,7.0
27,7,2018,9,24,7.0
27,7,2018,9,25,10.0
27,7,2018,9,26,1.0
27,7,2018,9,27,9.0
27,7,2018,9,28,38.0
27,7,2018,9,29,12.0
27,7,2018,9,30,4.0
35,7,2018,9,1,2.0
35,7,2018,9,2,4.0
35,7,2018,9,3,15.0
35,7,2018,9,4,21.0
35,7,2018,9,5,6.0
35,7,2018,9,6,4.0
35,7,2018,9,7,4.0
35,7,2018,9,8,6.0
35,7,2018,9,9,14.0
35,7,2018,9,10,11.0
